t,raw
37701.0,0.45789456
37702.0,0.5080953
37703.0,0.47327086
37704.0,0.2596068
37705.0,0.033235442
37706.0,0.44174942
37707.0,0.7110863
37708.0,0.8824061
37709.0,0.7865128
37710.0,0.7856461
37711.0,1.1577277
37712.0,1.0367368
37713.0,0.66963863
37714.0,0.7649448
37715.0,0.58096385
37716.0,0.374711
37717.0,0.1558334
37718.0,0.02949254
37719.0,0.48969758
37720.0,0.44732243
37721.0,0.4369273
37722.0,0.7451705
37723.0,0.73726875
37724.0,1.2607126
37725.0,1.1438264
37726.0,1.18181
37727.0,1.2679865
37728.0,1.0755779
37729.0,1.2926006
37730.0,1.283842
37731.0,1.2234862
37732.0,1.2671801
37733.0,1.3437455
37734.0,1.4346548
37735.0,1.6954552
37736.0,1.511547
37737.0,1.2858734
37738.0,1.3810554
37739.0,1.465816
37740.0,0.9012162
37741.0,0.8241935
37742.0,0.6437066
37743.0,0.6984602
37744.0,0.49438244
37745.0,-0.085902095
37746.0,-0.3633515
37747.0,-0.10205295
37748.0,-0.1904894
37749.0,-0.49489957
37750.0,-0.6413766
37751.0,-0.5130004
37752.0,-0.5097396
37753.0,-0.8693143
37754.0,-0.7659575
37755.0,-0.78809255
37756.0,-0.8183604
37757.0,-0.75419587
37758.0,-0.9166122
37759.0,-1.1820499
37760.0,-1.1485689
37761.0,-1.0440443
37762.0,-1.103754
37763.0,-1.340834
37764.0,-1.2811786
37765.0,-1.2399987
37766.0,-0.9787716
37767.0,-0.8916775
37768.0,-0.7307825
37769.0,-0.93444693
37770.0,-1.1217755
37771.0,-0.78968436
37772.0,-0.79046005
37773.0,-1.1818886
37774.0,-1.1192111
37775.0,-1.4459591
37776.0,-1.6113273
37777.0,-1.7469994
37778.0,-1.4489285
37779.0,-1.4472649
37780.0,-1.5674796
37781.0,-1.0052077
37782.0,-1.1268712
37783.0,-1.048786
37784.0,-1.1608312
37785.0,-1.040411
37786.0,-0.8990518
37787.0,-0.68942106
37788.0,-0.68388253
37789.0,-0.692338
37790.0,-0.5831926
37791.0,-0.50499153
37792.0,-0.4038678
37793.0,-0.20298184
37794.0,-0.28999904
37795.0,-0.10122132
37796.0,-0.44034895
37797.0,-0.48151088
37798.0,-0.6656043
37799.0,-0.67847097
37800.0,-0.8157607
37801.0,-0.93610305
37802.0,-0.84729505
37803.0,-0.94987345
37804.0,-1.0082111
37805.0,-0.7151672
37806.0,-0.83204657
37807.0,-0.4470333
37808.0,-0.8017952
37809.0,-0.9293837
37810.0,-0.634546
37811.0,-1.1385219
37812.0,-1.2533051
37813.0,-1.3736638
37814.0,-1.1165383
37815.0,-0.97654873
37816.0,-0.90471464
37817.0,-1.0528101
37818.0,-1.2210138
37819.0,-0.5309731
37820.0,-0.45878437
37821.0,-0.67484164
37822.0,-0.3889557
37823.0,-0.6960976
37824.0,-0.4725885
37825.0,-0.70242435
37826.0,-0.5625465
37827.0,-0.15297346
37828.0,-0.21319029
37829.0,-0.1542343
37830.0,-0.31632236
37831.0,-0.23902611
37832.0,0.10992249
37833.0,-0.013599322
37834.0,0.15420322
37835.0,-0.0687443
37836.0,-0.36461785
37837.0,-0.22751464
37838.0,-0.3878589
37839.0,-0.52175814
37840.0,-0.39300677
37841.0,-0.42445472
37842.0,-0.42369664
37843.0,-0.5424362
37844.0,-0.44211653
37845.0,-0.7274084
